stt,en,vi,ipa
582,I show him my train pass.,Tôi đưa vé cho anh ấy xem.,i show him my train pass
583,I run up the stairs.,Tôi chạy lên cầu thang.,i run up the stairs
584,I’m in a hurry.,Tôi đang rất vội.,i m in a hurry
585,I don’t want to miss the train.,Tôi không muốn bị nhỡ tàu.,i don t want to miss the train
586,I get on the train.,Tôi lên tàu.,i /ɡɛt/ /ɒn/ /ði/ /tɹeɪn/
587,I’m relieved.,Tôi nhẹ nhõm cả người.,i m /ɹɪˈliːvd/
588,I look for a seat.,Tôi tìm một chỗ ngồi.,i look for /æɪ/ /siːt/
589,I find an empty seat.,Tôi tìm thấy một chỗ ngồi còn trống.,i /faɪnd/ /æn/ /ˈɛmpti/ /siːt/
590,I’m lucky.,Tôi thật may mắn.,i m /ˈlʌki/
591,I sit next to a man.,Tôi ngồi cạnh một người đàn ông.,i /sɪt/ /nɛkst/ /tʉː/ /æɪ/ [mɛn]
592,I show my train pass to the conductor.,Tôi đưa vé cho người thu tiền vé xe (phụ xe).,i /ʃəʊ/ my train pass to the conductor
593,He checks it.,Anh ấy kiểm tra vé.,he checks it
594,I put my bag on my knee.,Tôi để túi trên đầu gối của mình.,i put my bag on my knee
595,I head toward the exit.,Tôi đi thẳng tới lối ra.,i head toward the exit
596,I have to go up the stairs.,Tôi phải leo lên bậc thang.,i have to go up the stairs
597,There is the exit sign on the wall.,Có biển chỉ dẫn lối ra ở trên tường.,there is the exit sign on the wall
598,I cross at the crosswalk.,Tôi băng qua lối qua đường.,i cross at the crosswalk
599,The signal is green.,Đèn báo hiệu màu xanh.,the signal is green
600,It’s dangerous to cross against the red light.,Sẽ rất nguy hiểm khi đi qua đường lúc đèn đỏ.,it s dangerous to cross /əˈɡeɪnst/ /ði/ /ɹɛd/ /lʌɪt/
601,I get on the elevator.,Tôi vào thang máy.,i /ɡɛt/ /ɒn/ /ði/ /ˈɛl.ə.veɪ.tɚ/
602,I arrive at the office.,Tôi đi đến văn phòng.,i /əˈɹaɪv/ at /ði/ /ˈɑfɪs/
603,The door is closing.,Cánh cửa đang đóng lại.,/ði/ /dɔː/ is /ˈkləʊzɪŋ/
604,I enter the office.,Tôi bước vào văn phòng.,i /ˈɛntə(ɹ)/ /ði/ /ˈɑfɪs/
605,I turn the door knob.,Tôi vặn khóa cửa.,i /tɜːn/ /ði/ door knob
606,I greet my coworkers.,Tôi chào hỏi đồng nghiệp.,i greet my coworkers
607,I open my desk drawer.,Tôi mở ngăn khéo bàn.,i open my desk drawer
608,I look for my pen.,Tôi tìm chiếc bút.,i look for my pen
609,I put my stationery in order.,Tôi để đồ dùng văn phòng theo thứ tự.,i put my stationery in order
610,I type a letter.,Tôi soạn một lá thư.,i type a letter
611,I can type fast.,Tôi có thể đánh máy rất nhanh.,i can type fast
612,I’m a good secretary.,Tôi là một thư kí giỏi.,i m a good secretary
613,I hail a taxi.,Tôi gọi một chiếc taxi.,i /heɪl/ /æɪ/ /ˈtæk.si/
614,I finish my work.,Tôi đã làm xong việc.,i /ˈfɪnɪʃ/ /mi/ /wɜːk/
615,I leave the office.,Tôi rời văn phòng.,i /liːv/ /ði/ /ˈɑfɪs/
616,I give the taxi driver directions to the restaurant.,Tôi chỉ cho tài xế taxi đường đến nhà hàng.,i /ɡɪv/ /ði/ /ˈtæk.si/ /ˈdɹaɪ.və(ɹ)/ /daɪˈɹɛk.ʃənz/ /tʉː/ /ði/ /ˈɹɛs.t(ə).ɹ(ə)nt/
617,I get on taxi.,Tôi lên taxi.,i /ɡɛt/ /ɒn/ taxi
618,The taxi driver is nice.,Tài xế taxi rất tốt bụng.,the taxi driver is nice
619,I walk into the restaurant.,Tôi bước vào nhà hàng.,i walk into the restaurant
620,The waitress guides me to the seat.,Người bồi bàn chỉ tôi chỗ ngồi.,the waitress guides me to the seat
621,She holds a menu.,Cô ấy đang cầm một bảng thực đơn.,she holds a menu
622,I sit down and look at the menu.,Tôi ngồi xuống và nhìn vào thực đơn.,i sit down and look at the menu
623,The waitress served a glass of water and a towel first.,Người bồi bàn phục vụ tôi một cốc nước và một chiếc khăn.,the waitress served a glass of water and a towel first
624,What shall I have?,Tôi nên ăn gì đây?,what shall i have
625,I order a drink.,Tôi gọi đồ uống.,i order a drink
626,I give my order to the waitress.,Tôi bảo cho người bồi bàn đồ uống tôi muốn dùng.,i /ɡɪv/ /mi/ /ˈɔːdə/ /tʉː/ /ði/ waitress
627,I’ll give a soda.,Tôi sẽ uống soda.,i ll /ɡɪv/ /æɪ/ /ˈsəʊdə/
628,I order my dinner.,Tôi gọi đồ ăn cho bữa tối.,i /ˈɔːdə/ /mi/ /ˈdɪnə/
629,"I’d like spaghetti and a salad, please.",Tôi muốn ăn spaghetti và rau trộn.,i d /laɪk/ [spəˈɡɛɾi] and /æɪ/ /ˈsæləd/ /pliːz/
630,The waitress takes my order.,Người bồi bàn nhận thực đơn gọi món của tôi.,/ði/ waitress /teɪks/ /mi/ /ˈɔːdə/
631,I make a toast with my friend.,Tôi cụng ly với bạn của mình.,i make a toast with my friend
632,She wears a nice green suit.,Cô ấy mặc 1 bộ quần áo màu xanh.,she wears a nice green suit
633,We say “cheers”.,Chúng Tôi nói “Vui vẻ!”,we say cheers
634,I pay the bill.,Tôi thanh toán hóa đơn.,i pay the bill
635,I take a ten thousand yen bill out of my wallet.,Tôi lấy 10 yên ra khỏi ví.,i take a ten thousand yen bill out of my wallet
636,I treat her.,Tôi đãi cô ấy.*Yên: đơn vị tiền tệ của Nhật Bản,i treat her
637,I get my change.,Tôi nhận lại tiền thừa.,i get my change
638,The waitress hands it to me.,Người bồi bàn đưa tiền thừa cho tôi.,the waitress hands it to me
639,I put the change in my wallet.,Tôi cho tiền thừa vào ví.,i put the change in my wallet
640,I relax in the chair.,Tôi thư giãn trên ghế.,i /ɹɪˈlæks/ /ɪn/ /ði/ /t͡ʃɛə(ɹ)/
641,I change into more comfortable clothes.,Tôi đã thay một bộ quần áo thoải mái hơn.,i /tʃeɪndʒ/ /ˈɪn.tuː/ /ˈmɔː/ /ˈkʌm.fə.tə.bəl/ /kləʊ(ð)z/
642,I drink a cup of coffee.,Tôi uống 1 tách cà phê.,i /dɹɪŋk/ /æɪ/ /kʌp/ /ɔv/ /ˈkɑ.fi/
643,I read a letter.,Tôi đọc một lá thư.,i /ɹiːd/ /æɪ/ /-ɾə(ɹ)/
644,It’s from my friend.,Nó đến từ một người bạn của tôi.,/ɪt/ s /fɹɒm/ /mi/ friend
645,She’s on a trip to Hawaii.,Cô ấy đang có một chuyến đi đến Hawaii.,she s on a trip to hawaii
646,I turn on the television.,Tôi mở ti-vi.,i turn on the television
647,I use the remote control to turn it on.,Tôi dùng điều khiển để mở ti-vi.,i use the remote control to turn it on
648,What’s on tonight?,Tối nay có chương trình gì?,what s on tonight
649,I change channels.,Tôi chuyển kênh.,i change channels
650,I don’t feel like watching comedy now.,Tôi không cảm thấy thích xem hài kịch lúc này.,i don t feel like watching comedy now
651,I continue to change channels.,Tôi tiếp tục chuyển kênh.,i continue to change channels
652,I watch a movie.,Tôi xem một bộ phim.,i watch a movie
653,I like movies.,Tôi thích phim.,i like movies
654,It’s just started.,Nó vừa mới bắt đầu thôi.,/ɪt/ s /d͡ʒʌst/ /ˈstɑːtɪd/
655,I look at the clock.,Tôi nhìn đồng hồ.,i look at /ði/ /klɒk/
656,It’s already 9 o’clock.,Đã 9 giờ rồi.,/ɪt/ s /ɑlˈɹɛdi/ /əʊ/ /klɒk/
657,Time goes by quickly.,Thời gian trôi thật nhanh.,/tɑem/ /ɡəʊz/ /baɪ/ /ˈkwɪkli/
658,I take a shower.,Tôi đi tắm.,i /teɪk/ /æɪ/ /ˈʃaʊ.ə(ɹ)/
659,The hot water comes out from the shower.,Nước nóng xả ra từ vòi hoa sen.,/ði/ /hɒt/ /ˈwoːtə/ comes out from the shower
660,I feel good.,Tôi cảm thấy rất thư giãn.,i feel good
661,I put on my pajamas.,Tôi mặc đồ ngủ.,i put on my pajamas
662,I button up my pajamas.,Tôi cài khuy áo bộ đồ ngủ.,i button up my pajamas
663,I put a curler on my bangs.,Tôi cuộn lô lên tóc mái.,i put a curler on my bangs
664,I keep myself warm.,Tôi giữ cho mình thật ấm.,i keep myself warm
665,I put my short robe on.,Tôi mặc chiếc áo choàng ngắn lên người.,i put my short robe on
666,I tie the strings in front.,Tôi thắt dây phía trước.,i tie the strings in front
667,I set the alarm clock for seven.,Tôi đặt đồng hồ báo thức 7 giờ.,i set the alarm clock for seven
668,I don’t want to oversleep tomorrow.,Tôi không muốn sáng mai ngủ quên.,i don t /wɔnt/ /tʉː/ /ˈəʊvəɹˌsliːp/ /təˈmɔɹoʊ/
669,This alarm is noisy.,Chuông báo này rất ồn.,/ðəs/ /əˈlɑːm/ is /ˈnɔːɪzɪ/
670,I turn off the light.,Tôi tắt điện.,i /tɜːn/ /ɔːf/ /ði/ /lʌɪt/
671,I put the alarm clock on the side table.,Tôi đặt chiếc đồng hộ báo thức ở bên cạnh bàn.,i /pʊt/ /ði/ /əˈlɑːm/ /klɒk/ /ɒn/ /ði/ /saɪd/ /ˈteɪbəl/
672,I go to sleep at ten.,Tôi đi ngủ lúc 10 giờ.,i /ɡəʉ/ /tʉː/ /sliːp/ at ten
673,I find a telephone boot.,Tôi tìm một cái bốt điện thoại.,i find a telephone boot
674,It’s empty now.,Bốt điện thoại đang trống.,it s empty now
675,I have to call the office.,Tôi gọi phải gọi đến văn phòng.,i have to call the office
676,I step outside.,Tôi bước tới phía ngoài.,i step outside
677,I pull the door closed.,Tôi kéo cửa đóng vào.,i pull the door closed
678,I make a telephone call.,Tôi gọi điện thoại.,i make a telephone call
679,I reach into my pocket.,Tôi đưa tay vào túi áo.,i reach into my pocket
680,I feel in my pocket for a coin.,Tôi tìm đồng xu trong túi.,i feel in my pocket for a coin
681,I pick up the receiver.,Tôi nhấc ống nghe lên.,i pick up /ði/ /ɹəˈsiːvə/
682,I take a ten yen coun out of my pocket.,Tôi lấy 10 yên ra khỏi túi.,i /teɪk/ /æɪ/ /tɛn/ /jɛn/ coun /æɔt/ /ɔv/ /mi/ /ˈpɒkɪt/
683,I think ten yen is enough.,Tôi nghĩ 10 yên là đủ.,i /θɪŋk/ /tɛn/ /jɛn/ is /iˈnʌf/
684,I make a local call.,Tôi gọi một cuộc gọinội mạng.,i /meɪk/ /æɪ/ /ˈləʊkl̩/ call
685,I put the coin in the telephone.,Tôi bỏ đồng xu vào máy.,i put the coin in the telephone
686,I put another coin in just in case.,Tôi bỏ thêm một đồng xu nữa để dự phòng.,i put another coin in just in case
687,"If ten yen isn’t enough, the telephone goes dead suddenly.","Nếu 10 yên khôngđủ, thì điện thoại sẽngắt đột ngột.",if ten yen isn t enough the telephone goes dead suddenly
688,I dial the number.,Tôi ấn số.,i dial the number
689,Who will answer the phone?,Ai sẽ trả lời điện thoại của Tôi nhỉ?,who will answer the phone
690,I hope the line isn’t busy.,Tôi hi vọng đường dây không bận.,i hope the line isn t busy
691,I talk on the telephone.,Tôi nói chuyện qua điện thoại.,i talk on the telephone
692,I report on my sales to my boss.,Tôi báo cáo tình hình bán hàng tới ông chủ.,i report on my sales /tʉː/ /mi/ /bɑs/
693,I hang up.,Tôi kết thúc cuộc gọi.,i [heɪŋ] /ap/
694,I walk down the stairs.,Tôi đi bộ xuống cầu thang.,i /wɔːk/ /daʊn/ /ði/ /ˈstɛəz/
695,I watch for the steps.,Tôi chú ý bước đi cẩn thận.,i /wɒt͡ʃ/ for /ði/ /stɛps/
696,I’m on the way to meet a new customer.,Tôi đang trên đườngđến gặp một kháchhàng mới.,i m /ɒn/ /ði/ /weɪ/ /tʉː/ /miːt/ /æɪ/ /njʉː/ /ˈkʌstəmə/
697,I look at the map.,Tôi nhìn vào bản đồ.,i look at the map
698,I check the place.,Tôi kiểm tra điểm đến.,i check the place
699,I’m not sure where the firm is.,Tôi không biết chắc công ty đó ở đâu.,i m not sure where the firm is
700,I ask for directions.,Tôi hỏi đường đi.,i ask for directions
701,She tells me the way politely.,Cô ấy chỉ đường cho tôi một cách rất lịch sự.,she tells me the way politely
702,She points at the direction.,Cô ấy chỉ hướng đi.,she points at the direction
703,I head for the beach.,Tôi đi thẳng đến biển.,i head for the beach
704,I wear sun-glasses.,Tôi đeo kính râm.,i wear sun glasses
705,I’m humming.,Tôi ngâm nga.,i m humming
706,I play Frisbee.,Tôi chơi ném đĩa.,i play frisbee
707,I throw a Frisbee.,Tôi ném một chiếc đĩa.,i throw a frisbee
708,I enjoy playing Frisbee.,Tôi thích chơi ném đĩa.,i /ənˈd͡ʒɔɪ/ /ˈpleɪ.ɪŋ/ frisbee
709,I sunbathe.,Tôi phơi nắng.,i sunbathe
710,I lie on a towel.,Tôi nằm trên một cái khăn tắm.,i /laɪ̯/ /ɒn/ /æɪ/ /taʊl/
711,I get a tan.,Tôi rám nắng.,i /ɡɛt/ /æɪ/ /tæn/
712,I walk into the supermarket.,Tôi đi vào trong siêu thị.,i /wɔːk/ /ˈɪn.tuː/ /ði/ /ˌsuːpəˈmɑːkɪt/
713,The door opens automatically.,Cánh cửa tự động mở.,/ði/ /dɔː/ /ˈəʊ.pənz/ /ˈɔːtəʊˌmæt.ɪk(.ə)li/
714,I see some fruit near the entrance.,Tôi nhìn thấy hoa quả ngay cạnh lối vào.,i /siː/ /sɐm/ /fɹuːt/ /nɪə(ɹ)/ the entrance
715,I get a shopping cart.,Tôi lấy một cái giỏ hàng.,i get a shopping cart
716,It’s convenient for carrrying lots of food.,Nó rất tiện lợi để chở nhiều đồ.,it s convenient for carrrying lots of food
717,I push the cart with one hand.,Tôi dùng một tay đẩy giỏ hàng.,i push the cart with one hand
718,I check the shopping list.,Tôi kiểm tra danh sách mua đồ.,i check the shopping list
719,I have a lot of things to buy.,Có rất nhiều thứ phải mua.,i have a lot of things to buy
720,I put my bag on the bottom of the shopping cart.,Tôi bỏ túi xách của mình xuống dưới đáy giỏ hàng.,i put my bag on the bottom of the shopping cart
721,I walk down the ailse.,Tôi đi xuống phía lối đi.,i walk down the ailse
722,I see many goods displayed on the shelf.,Tôi nhìn thấy nhiều đồ được trưng bày trên giá.,i /siː/ /ˈmæni/ /ɡʊdz/ /dɪsˈpleɪd/ /ɒn/ /ði/ /ʃɛlf/
723,I look for the goods I want.,Tôi tìm mua đồ mà Tôi muốn.,i look for /ði/ /ɡʊdz/ i /wɔnt/
724,I stop at the meat section.,Tôi dừng lại ở quầy thịt.,i /stɒp/ at /ði/ /miːt/ /ˈsɛkʃən/
725,I should buy meat.,Tôi nên mua thịt.,i /ʃʊd/ /baɪ/ /miːt/
726,It looks so delicious.,Nó trông rất ngon.,/ɪt/ looks so delicious
727,I look at a steak.,Tôi nhìn vào miếng thịt.,i look at a steak
728,They are wrapped one by one.,Chúng được gói từng miếng một.,they are wrapped one by one
729,I choose the best one.,Tôi chọn miếng ngon nhất.,i choose the best one
730,I look at the price.,Tôi nhìn vào giá.,i look at the price
731,"Whoo, it’s too expensive.","Ôi, nó đắt quá!",whoo it s too expensive
732,I can’t buy it.,Tôi không thể mua được.,i can t buy it
733,I put it back.,Tôi bỏ nó lại.,i put it back
734,I give up buying the steak.,Tôi không mua miếng thịt đó nữa.,i give up buying the steak
735,I’ll have a steak after I get my pay.,Tôi sẽ mua thịt sau khi nhận lương.,i ll have a steak after i /ɡɛt/ /mi/ /peɪ/
736,I pick up a package of ground beef.,Tôi chọn một gói thịt bò xay.,i /pɪk/ /ap/ /æɪ/ /ˈpækɪdʒ/ /ɔv/ /ɡɹaʊnd/ /biːf/
737,The price is reasonable.,Giá của nó rất hợp lí.,/ði/ /pɹaɪs/ is /ˈɹiː.zən.ə.bəl/
738,I can make hamburgers with it.,Tôi có thể làm bánh hamburgers với túi thịt bò này.,i /ˈkæn/ /meɪk/ hamburgers with /ɪt/
739,I put the package into the cart.,Tôi bỏ gói thịt bò xay vào giỏ hàng.,i /pʊt/ /ði/ package into the cart
740,I have an apple and some bananas in my cart.,Trong giỏ hàng của tôi có 1 quả táo và vài quả chuối.,i have an apple and some bananas in my cart
741,I go through the fish section.,Tôi đi qua quầy cá.,i go through the fish section
742,I glance at the packages.,Tôi liếc nhìn những gói cá.,i glance at the packages
743,I don’t need fish today.,Hôm nay tôi không cần ăn cá.,i don t need fish today
744,I take a six-pack of juice.,Tôi lấy 6 hộp nước ép hoa quả.,i take a six pack of juice
745,They are selling it at a special price today.,Họ đang bán nó với một mức giá đặc biệt trong ngày hôm nay.,they are selling it at a special price today
746,I go to the cashier.,Tôi đi đến chỗ thu ngân.,i go to the cashier
747,I look at the receipt.,Tôi nhìn vào hóa đơn.,i look at /ði/ /ɹɪˈsiːt/
748,I check what I bought.,Tôi kiểm tra những gì mình đã mua.,i /t͡ʃɛk/ /wɔt/ i /bɔːt/
749,I spent a lot of money.,Tôi đã chi rất nhiều tiền.,i /ˈspɛnt/ /æɪ/ /lɒt/ /ɔv/ /ˈmʌni/
750,I go out of the store with the groceries.,Tôi đi ra khỏi quầy hàng với rất nhiều hàng hóa.,i /ɡəʉ/ /æɔt/ /ɔv/ /ði/ /stɔː/ with /ði/ /ˈɡɹəʊs(ə)ɹiz/
751,They are little heavy.,Chúng hơi nặng một chút.,/ðeɪ/ /ɛə/ little heavy
752,I go home.,Tôi đi về nhà.,i go home
753,I open the cupboard.,Tôi mở cửa tủ chạn.,i open the cupboard
754,I take the dishes out of the cupboard.,Tôi lấy đĩa ra khỏi tủ.,i take the dishes out of the cupboard
755,I’m preparing for our lunch.,Tôi chuẩn bị bữa trưa.,i m preparing for our lunch
756,I put the groceries on the table.,Tôi để đồ lên trên bàn.,i put the groceries on the table
757,I roll up my sleeves.,Tôi xắn tay áo.,i roll up my sleeves
758,I prepare all the ingredients.,Tôi chuẩn bị mọi nguyên liệu.,i prepare all the ingredients
759,I tap an egg on the table.,Tôi đập một quả trứng lên bàn.,i tap an egg on the table
760,The egg has a crack in the shell.,Quả trứng có một vết nứt trên vỏ.,the /eɪɡ/ has /æɪ/ /kɹæk/ /ɪn/ /ði/ /ʃɛl/
761,Eggs break easily.,Trứng rất dễ vỡ.,/ɛɡz/ /bɹeɪk/ /ˈiː.zə.liː/
762,I break an egg into a bowl.,Tôi đập trứng vào bát.,i /bɹeɪk/ /æn/ /eɪɡ/ /ˈɪn.tuː/ /æɪ/ /bəʊɫ/
763,I hold the shells in my hands.,Tôi giữ vỏ trứng ở trong tay mình.,i /həʊld/ /ði/ /ʃɛlz/ /ɪn/ /mi/ /hæn(d)z/
764,I break it very well.,Tôi đập trứng rất giỏi.,i break it very well
765,I throw away the shells.,Tôi vứt vỏ trứng đi.,i throw away the shells
766,I put them in a garbage box.,Tôi bỏ chúng vào thùng rác.,i put them in a garbage box
767,The sink is still clean.,Bồn rửa vẫn rất sạch sẽ.,the sink is still clean
768,I beat the egg.,Tôi đánh trứng.,i beat the egg
769,Egg yolk and egg white is mixed.,Lòng đỏ và lòng trắng được trộn vào nhau.,egg yolk and egg white is mixed
770,It becomes yellow.,Nó trở thành màu vàng.,it becomes yellow
771,I pick up the onion.,Tôi lấy 1 củ hành.,i pick up the onion
772,I’ll mix the onions with the egg.,Tôi sẽ trộn hành với trứng.,i ll mix the onions with the egg
773,Onions have peels.,Hành có vỏ.,onions have /piːlz/
774,I peel the onion.,Tôi gọt vỏ hành.,i /piːl/ /ði/ /ˈʌŋjɪn/
775,I throw the peels away.,Tôi vứt vỏ đi.,i /θɹəʊ/ /ði/ /piːlz/ /əˈweɪ/
776,I cut it into small pieces.,Tôi thái hành thành những miếng nhỏ.,i /kʌt/ /ɪt/ /ˈɪn.tuː/ /smoːl/ /ˈpiːsɪz/
777,I remove the seeds from the green pepper.,Tôi tách hạt ra khỏi trái ớt xanh.,i /ɹɪˈmuːv/ /ði/ /siːdz/ /fɹɒm/ /ði/ /ɡɹiːn/ /ˈpɛpə/
778,There are many small seeds inside of the pepper.,Có rất nhiều hạt trong quả ớt.,/ðeː(ɹ)/ /ɛə/ many small seeds inside of the pepper
779,I take out all of them.,Tôi lấy hết hạt ra khỏi quả ớt.,i take out all of them
780,I mix the green pepper and the egg.,Tôi trộn ớt xanh và trứng.,i mix the green pepper and the egg
781,I continue mixing.,Tôi tiếp tục trộn.,i continue mixing
782,What shall I put in next?,Tôi nên cho gì vào tiếp đây?,what shall i put in next
783,I take the ham out of the pack.,Tôi lấy thịt hun khói ra khỏi túi.,i take the ham out of the pack
784,It’s already sliced.,Nó đã được thái sẵn rồi.,it s already sliced
785,I use a slice of ham.,Tôi dùng một miếng thịt hun khói.,i use a slice of ham
786,I put the ham in the bowl.,Tôi bỏ thịt hun khói vào bát.,i put the ham in /ði/ /bəʊɫ/
787,I mix in all the ingredients.,Tôi trộn tất cả các nguyên liệu với nhau.,i /ˈmɪks/ /ɪn/ /ɔːl/ /ði/ ingredients
788,I add salt and pepper last.,Cuối cùng tôi cho thêm muối và tiêu vào.,i /æd/ /sɔlt/ and /ˈpɛpə/ /last/
789,I stir the egg.,Tôi khuấy đều trứng lên.,i /stɜː/ /ði/ /eɪɡ/
790,I only have to fry it.,Tôi chỉ việc rán nó nữa thôi.,i /ˈəʊn.li/ have /tʉː/ /fɹaɪ/ /ɪt/
791,I make an omelet.,Tôi làm món trứng tráng.,i /meɪk/ /æn/ omelet
792,I turn on the gas.,Tôi bật bếp gas.,i /tɜːn/ /ɒn/ /ði/ /ɡæs/
793,I turn up the flame.,Tôi bật lửa lên.,i /tɜːn/ /ap/ /ði/ /fleɪm/
794,It’s hot around the stove.,Quanh bếp rất nóng.,it s hot around the stove
795,I turn down the flame.,Tôi hạ lửa.,i turn down the flame
796,I put the pan on the stove.,Tôi cho chảo lên bếp.,i put the pan on the stove
797,Then I heat the pan.,Tôi làm nóng chảo.,then i heat the pan
798,I put some butter in a pan.,Tôi cho 1 chút bơ vào chảo.,i put some butter in a pan
799,It melts fast.,Nó tan ra rất nhanh.,it melts fast
800,I spread it in the pan.,Tôi tản đều quanh chảo.,i spread it in the pan
801,I pour the egg into the pan.,Tôi đỏ trứng vào chảo.,i pour the egg into the pan
802,I fry one side of the egg.,Tôi rán một mặt trứng.,i fry one side of the egg
803,I should be careful not to burn it.,Tôi phải cẩn thận không để trứng bị cháy.,i /ʃʊd/ be /ˈkɛːfəl/ /nɒt/ /tʉː/ /bɜːn/ /ɪt/
804,I turn the egg over.,Tôi lật trứng.,i /tɜːn/ /ði/ /eɪɡ/ /ˈəʊ.və(ɹ)/
805,I fry the other side.,Tôi rán mặt còn lại.,i /fɹaɪ/ /ði/ /ˈɐðə/ /saɪd/
806,Now it’s almost done.,Sắp xong rồi.,/naʊ/ /ɪt/ s /ɔːl.ˈməʊst/ /dʌn/
807,I put on an apron.,Tôi đeo tạp dề.,i /pʊt/ on an apron
808,It has a big rocket shape.,Nó có hình giống như tên lửa.,it has a big rocket shape
809,I hold the apron strings.,Tôi giữ dây của tạp dề,i hold the apron strings
810,I tie the apron.,Tôi buộc tạp dề.,i tie the apron
811,I tie the strings in a bow.,Tôi thắt dây thành một cái nơ.,i tie the strings in a bow
812,I do it behind my back.,Tôi thắt dây sau lưng.,i do it behind my back
813,I wipe the window.,Tôi lau cửa sổ.,i wipe the window
814,I blow on the window.,Tôi hà hơi lên cửa sổ.,i blow on the window
815,I polish it.,Tôi lau cho sạch bóng.,i polish it
816,I plug in the vacuum cleaner.,Tôi cắm phích máy hút bụi.,i plug in the vacuum cleaner
817,I vacuum the floor.,Tôi hút bụi sàn nhà.,i /ˈvæ.kjuː.əm/ /ði/ /flɔː/
818,The vacuum cleaner sucks up the dirt.,Máy hút bụi sẽ hút hết mọi bụi bẩn.,/ði/ /ˈvæ.kjuː.əm/ /ˈkliː.nə/ /sʌks/ /ap/ /ði/ /dɜːt/
819,I put away the dirty dishes.,Tôi mang những chiếc đĩa bẩn đi.,i /pʊt/ /əˈweɪ/ /ði/ /ˈdɜːti/ /ˈdɪʃɪz/
820,I pile up one dish on top of another.,Tôi xếp 1 cái đĩa lên trên cùng.,i /paɪl/ /ap/ /wan/ /dɪʃ/ /ɒn/ /tɒp/ /ɔv/ /æˈnʌð.ə(ɹ)/
821,We eat our lunch up.,Chúng tôi đã ăn hết bữa trưa.,/wiː/ /iːt/ our lunch up
822,I wipe the table.,Tôi lau bàn.,i wipe the table
823,I clean it up.,Tôi lau sạch bàn.,i clean it up
824,I leave the soy sauce and the salt on the table.,Tôi bỏ lại nước tương và muối trên bàn.,i leave the soy sauce and the salt on the table
825,I carry the dirty dishes to the sink.,Tôi mang những cái đĩa bẩn tới bồn rửa.,i carry the dirty dishes to the sink
826,I carry them carefully.,Tôi bê rất cẩn thận.,i carry them carefully
827,I don’t want to break them.,Tôi không muốn làm vỡ chúng.,i don t want to break them
828,I soak the dishes.,Tôi nhúng những chiếc đĩa xuống nước.,i soak the dishes
829,I fill the sink with water.,Tôi xả đầy nước vào bồn.,i fill the sink with water
830,I wish I had a dishwasher.,Tôi ước Tôi có một cái máy rửa chén bát.,i /wɪʃ/ i had /æɪ/ /ˈdɪʃˌwɒʃə/
831,I wash the dishes.,Tôi rửa đĩa.,i /wɑʃ/ /ði/ /ˈdɪʃɪz/
832,I wash them with detergent.,Tôi dùng dầu rửa để rửa.,i /wɑʃ/ /ðʌm/ with /dɪˈtɜːdʒənt/
833,A cup is floating in the sink.,Một cái cốc đang nổi bồng bềnh trong bồn sửa.,/æɪ/ /kʌp/ is /ˈfləʊtɪŋ/ /ɪn/ /ði/ /sɪŋk/
834,I dry the dishes.,Tôi lau khô đĩa.,i dry the dishes
835,I wipe them with a dish towel.,Tôi lau đĩa bằng một cái khăn.,i wipe them with a dish towel
836,I put the dishes on the draining board.,Tôi bỏ đĩa lên giá.*draining board = drainboard: mặt nghiêng trên chạn đựng bát đựa (để ráo nước),i put the dishes on the draining board
837,I put away the dishes in the cupboard.,Tôi cho đĩa vào trong tủ chạn.,i put away the dishes in the cupboard
838,I display the neatly.,Tôi sắp xếp một cách gọn gàng.,i display the neatly
839,"On, no. The inside of cupboard is dusty.","Ôi không, bên trong tủ chạn bụi quá.",on no the inside of cupboard is dusty
840,I dry the clothes in the dryer.,Tôi lau khô quần áo bằng máy sấy khô.,i dry the clothes in the dryer
841,The clothes go round in it.,Quần áo quay tròn trong cái máy.,the clothes go round in it
842,The dryer is set above the washing machine.,Máy sấy được thiết kế ngay trên máy giặt.,/ði/ /ˈdɹaɪə/ is /sɛt/ /əˈbʌv/ /ði/ /ˈwɒʃɪŋ/ /məˈʃin/
843,I put the clothes in the basket.,Tôi bỏ quần áo vào giỏ.,i /pʊt/ /ði/ /kləʊ(ð)z/ /ɪn/ /ði/ /ˈbaːskət/
844,I take them out of the dryer.,Tôi lấy quần áo ra khỏi máy.,i /teɪk/ /ðʌm/ /æɔt/ /ɔv/ /ði/ /ˈdɹaɪə/
845,The clothes are warm.,Quần áo vẫn còn ấm.,/ði/ /kləʊ(ð)z/ /ɛə/ /wɔːm/
846,I take the sheet off the bed.,Tôi lấy ga ra khỏi giường.,i /teɪk/ the sheet off the bed
847,I wash the sheet.,Tôi giặt ga giường.,i wash the sheet
848,I change the sheets.,Tôi thay ga khác vào.,i change the sheets
849,I spread the clean sheet over the bed.,Tôi trải tấm ga sạch lên giường.,i spread the clean sheet over the bed
850,The clean sheet makes me feel fresh.,Tấm ga sạch làm tôi cảm thấy rất mát mẻ.,the clean sheet makes me feel fresh
851,I make the bed.,Tôi dọn giường.,i make the bed
852,I take out the garbage.,Tôi đi vứt rác.,i take out the garbage
853,The garbage is in a black plastic bag.,Rác được đựng trong túi bóng đen.,the garbage is in a black plastic bag
854,I hold the garbage can in my arm.,Tôi giữ thùng rác trên tay.,i hold the garbage can in my /ɑːm/
